Student Name,Test 1,Test 2
Rose,32.5,32.5
Lotus,0,0
Lily,10,10
Sunflower,0,0
Daisy,20,20
Jasmine,15,15
Tulip,0,0
Orchid,0,0
Marigold,0,0
Hibiscus,2.5,2.5
Lavender,0,0
Peony,52.5,52.5
Carnation,17.5,17.5
Chrysanthemum,5,5
Magnolia,17.5,17.5
Poppy,40,40
Dahlia,0,0
Violet,85,85
Camellia,47.5,47.5
Azalea,15,15
Bougainvillea,15,15
Anemone,50,50
Begonia,75,75
Gladiolus,25,25
Petunia,0,0
Zinnia,0,0
Bluebell,12.5,12.5
Heather,0,0
Iris,22.5,22.5
Freesia,10,10
Snapdragon,50,50
Gardenia,70,70
Lilac,0,0
Primrose,55,55
